category,machine,mode,language,impl,variant,memory_model,optimization_type,optimization_param,fp,N,time_sec,performance_gflops,error,real_sec,user_sec,sys_sec,source_file
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006112899,2.349851,9.543651e-09,0.24,0.14,0.26,miyabi/kokkos-sweep/team_baseline/run.64.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006045316,2.376121,9.543651e-09,0.17,0.08,0.28,miyabi/kokkos-sweep/team_baseline/run.64.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006040068,2.378186,9.543651e-09,0.15,0.02,0.31,miyabi/kokkos-sweep/team_baseline/run.64.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01207031,18.47567,7.210672e-09,0.26,0.16,0.28,miyabi/kokkos-sweep/team_baseline/run.64.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01215706,18.34384,7.210672e-09,0.35,0.18,0.34,miyabi/kokkos-sweep/team_baseline/run.64.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01200145,18.58168,7.210672e-09,0.34,0.18,0.34,miyabi/kokkos-sweep/team_baseline/run.64.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03636399,96.14882,8.292404e-09,1.10,0.76,0.52,miyabi/kokkos-sweep/team_baseline/run.64.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03622012,96.53073000000001,8.292404e-09,1.10,0.79,0.48,miyabi/kokkos-sweep/team_baseline/run.64.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03602117,97.06388,8.292404e-09,1.10,0.67,0.60,miyabi/kokkos-sweep/team_baseline/run.64.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9769269,56.82525,8.738957e-09,7.87,7.85,0.23,miyabi/kokkos-sweep/team_baseline/run.64.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9737937,57.00808,8.738957e-09,7.88,7.79,0.25,miyabi/kokkos-sweep/team_baseline/run.64.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/baseline,kokkos-default,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9735335,57.02332,8.738957e-09,7.82,7.76,0.24,miyabi/kokkos-sweep/team_baseline/run.64.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006258457,2.295199,9.543651e-09,0.39,0.06,0.47,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006283032,2.286222,9.543651e-09,0.22,0.03,0.37,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006275736,2.288879,9.543651e-09,0.16,0.10,0.23,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01222798,18.23744,7.210672e-09,0.26,0.22,0.22,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01231733,18.10515,7.210672e-09,0.26,0.21,0.23,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01241839,17.95781,7.210672e-09,0.26,0.22,0.22,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03638609,96.09041999999999,8.292404e-09,1.14,1.06,0.25,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03592494,97.32388,8.292404e-09,1.12,0.96,0.34,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03670133,95.26506999999999,8.292404e-09,1.12,1.05,0.25,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.974396,56.97285,8.738957e-09,8.06,7.94,0.29,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.982422,56.5074,8.738957e-09,8.05,7.59,0.65,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9766934,56.83883,8.738957e-09,8.09,7.97,0.31,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.32.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006311161,2.276032,9.543651e-09,0.25,0.05,0.37,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006305529,2.278065,9.543651e-09,0.16,0.10,0.24,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006303705,2.278724,9.543651e-09,0.15,0.11,0.22,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01226539,18.18182,7.210672e-09,0.27,0.25,0.20,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.0123445,18.0653,7.210672e-09,0.34,0.21,0.31,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.0124261,17.94667,7.210672e-09,0.34,0.21,0.31,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03602147,97.06308,8.292404e-09,1.12,0.66,0.64,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03624396,96.46724,8.292404e-09,1.13,1.05,0.25,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03614908,96.72042999999999,8.292404e-09,1.12,1.04,0.26,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9816114,56.55406,8.738957e-09,8.03,7.58,0.63,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9834411,56.44884,8.738957e-09,8.04,7.99,0.24,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/cpu-chunk-sweep,kokkos-default,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9817439,56.54643,8.738957e-09,8.02,7.96,0.25,miyabi/kokkos-sweep/team_cpu-chunk-sweep/run.64.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006221499,2.308833,9.543651e-09,0.39,0.07,0.46,miyabi/kokkos-sweep/team_uvm/run.32.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006127995,2.344062,9.543651e-09,0.23,0.03,0.38,miyabi/kokkos-sweep/team_uvm/run.32.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006091771,2.358001,9.543651e-09,0.15,0.06,0.27,miyabi/kokkos-sweep/team_uvm/run.32.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01251007,17.82621,7.210672e-09,0.27,0.24,0.21,miyabi/kokkos-sweep/team_uvm/run.32.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01248383,17.86368,7.210672e-09,0.34,0.22,0.31,miyabi/kokkos-sweep/team_uvm/run.32.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01249206,17.85191,7.210672e-09,0.33,0.20,0.31,miyabi/kokkos-sweep/team_uvm/run.32.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03722391,93.92766,8.292404e-09,1.05,1.04,0.18,miyabi/kokkos-sweep/team_uvm/run.32.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03711063,94.21437,8.292404e-09,1.12,1.04,0.27,miyabi/kokkos-sweep/team_uvm/run.32.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03622214,96.52535,8.292404e-09,1.12,1.04,0.26,miyabi/kokkos-sweep/team_uvm/run.32.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9859038,56.30784,8.738957e-09,8.02,7.96,0.25,miyabi/kokkos-sweep/team_uvm/run.32.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.988224,56.17564,8.738957e-09,8.02,7.91,0.29,miyabi/kokkos-sweep/team_uvm/run.32.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9857098,56.31892,8.738957e-09,8.02,7.56,0.64,miyabi/kokkos-sweep/team_uvm/run.32.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006117021,2.348268,9.543651e-09,0.24,0.15,0.26,miyabi/kokkos-sweep/team_uvm/run.64.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006119294,2.347395,9.543651e-09,0.16,0.08,0.26,miyabi/kokkos-sweep/team_uvm/run.64.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006147006,2.336813,9.543651e-09,0.16,0.04,0.30,miyabi/kokkos-sweep/team_uvm/run.64.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01244172,17.92414,7.210672e-09,0.25,0.18,0.25,miyabi/kokkos-sweep/team_uvm/run.64.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.012499,17.842,7.210672e-09,0.28,0.20,0.26,miyabi/kokkos-sweep/team_uvm/run.64.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01250457,17.83405,7.210672e-09,0.34,0.21,0.31,miyabi/kokkos-sweep/team_uvm/run.64.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03684987,94.88106000000001,8.292404e-09,1.11,1.07,0.22,miyabi/kokkos-sweep/team_uvm/run.64.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03669339,95.28568,8.292404e-09,1.11,1.04,0.25,miyabi/kokkos-sweep/team_uvm/run.64.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03687131,94.82589,8.292404e-09,1.12,1.05,0.25,miyabi/kokkos-sweep/team_uvm/run.64.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9894277,56.1073,8.738957e-09,8.08,7.98,0.29,miyabi/kokkos-sweep/team_uvm/run.64.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9862853,56.28606,8.738957e-09,8.02,7.96,0.25,miyabi/kokkos-sweep/team_uvm/run.64.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm,kokkos-uvm,baseline,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9811621,56.57996,8.738957e-09,8.00,7.93,0.25,miyabi/kokkos-sweep/team_uvm/run.64.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006160774,2.331591,9.543651e-09,0.39,0.02,0.49,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006105829,2.352572,9.543651e-09,0.23,0.03,0.38,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,4913,0.006175045,2.326202,9.543651e-09,0.17,0.13,0.21,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01236593,18.03399,7.210672e-09,0.27,0.18,0.27,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01234152,18.06966,7.210672e-09,0.35,0.22,0.30,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,35937,0.01240379,17.97895,7.210672e-09,0.36,0.21,0.33,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03635881,96.16252,8.292404e-09,1.10,0.77,0.52,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.03642297,95.99312,8.292404e-09,1.11,1.02,0.26,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,274625,0.037004,94.48586,8.292404e-09,1.12,1.02,0.29,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9814038,56.56603,8.738957e-09,7.91,7.82,0.27,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9839451,56.41993,8.738957e-09,7.91,7.32,0.78,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",32,2146689,0.9848615,56.36743,8.738957e-09,8.00,7.92,0.26,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.32.129.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006129925,2.343324,9.543651e-09,0.24,0.07,0.34,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.17.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006116421,2.348498,9.543651e-09,0.16,0.08,0.26,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.17.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,4913,0.006111525,2.350379,9.543651e-09,0.20,0.07,0.31,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.17.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01240433,17.97817,7.210672e-09,0.25,0.19,0.25,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.33.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01236983,18.02831,7.210672e-09,0.26,0.25,0.18,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.33.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,35937,0.01238446,18.00701,7.210672e-09,0.27,0.23,0.21,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.33.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03611318,96.81658,8.292404e-09,1.03,1.06,0.15,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.65.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03662457,95.46473,8.292404e-09,1.11,1.01,0.27,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.65.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,274625,0.03644237,95.94202,8.292404e-09,1.11,1.05,0.24,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.65.3.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.979104,56.69889,8.738957e-09,7.98,7.47,0.70,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.129.1.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.986003,56.30217,8.738957e-09,7.91,7.81,0.28,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.129.2.log
Kokkos,miyabi,gpu,cpp,kokkos,team/uvm-chunk-sweep,kokkos-uvm,chunk-sweep,"node=miyabi-g(GH200-GPU),kokkos=4.7.02(sm_90)",64,2146689,0.9871338,56.23768,8.738957e-09,7.97,7.56,0.59,miyabi/kokkos-sweep/team_uvm-chunk-sweep/run.64.129.3.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,4913,7.838011e-03,1.832659e+00,9.543651e-09,2.866200e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,4913,6.914139e-03,2.077540e+00,9.543651e-09,2.254500e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,4913,6.603956e-03,2.175121e+00,9.543651e-09,2.069200e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,35937,1.693082e-02,1.317167e+01,7.210672e-09,6.226300e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,35937,1.560092e-02,1.429448e+01,7.210672e-09,6.203900e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
non-Kokkos,miyabi,cpu,cpp,openmp-cpu,,cpu-only,baseline,node=miyabi-c(Intel),32,35937,1.581001e-02,1.410543e+01,7.210672e-09,6.134600e-02,0.000000e+00,0.000000e+00,fem/results/miyabi/cpu-Cpp_openmp-cpu.log
